file1,file2,import_similarity,method_similarity,label
awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,awaitility/src/test/java/org/awaitility/FailFastTest.java,0.13636363636363635,0.0,1
awaitility/src/main/java/org/awaitility/core/ConditionSettings.java,awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,0.25,0.08333333333333333,1
awaitility/src/main/java/org/awaitility/core/ConditionSettings.java,awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/ConditionSettings.java,awaitility/src/test/java/org/awaitility/FailFastTest.java,0.14285714285714285,0.0,1
awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,awaitility/src/test/java/org/awaitility/FailFastTest.java,0.07142857142857142,0.0,1
awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,awaitility/src/test/java/org/awaitility/FailFastTest.java,0.0,0.0,1
awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,0.6363636363636364,0.20512820512820512,1
awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/test/java/org/awaitility/core/ConditionEvaluationLoggerTest.java,0.0625,0.0,1
awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,awaitility/src/test/java/org/awaitility/core/ConditionEvaluationLoggerTest.java,0.0,0.0,1
awaitility-osgi-test/pom.xml,pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,changelog.txt,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-kotlin/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-osgi-test/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-osgi-test/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,pom.xml,0.0,0.0,1
